dnaSampleID,imgGenomeID,jgiProjectID,ITS Proposal ID,Sequencing Status,Study Name,GenomeName,Sequencing Center,GOLD Analysis Project ID,GOLD Analysis Project Type,GOLD Sequencing Project ID,GOLD Study ID,Funding Program,Sequencing Method,Sequencing Quality,siteID,collectDate,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,GenomeSize,GeneCount,ScaffoldCount,metaBATbinCount,eukCCbinCount,estNumberGenomes,avgGenomeSize,numberFilteredReads,numberMappedReads,pctAssembledReads
PUUM_006-O-20200106-COMP-DNA1,3300071055,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Puu Makaala Natural Area Reserve, Hawaii, USA - PUUM_006-O-20200106-COMP-DNA1",Battelle Memorial Institute,Ga0620149,Metagenome Analysis,Gp0766717,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,PUUM,20200106,Environmental,Terrestrial,Forest,Soil,Unclassified,30534707,80409,65501,0,0,0,0,0,0,0
BLAN_033-M-20200713-COMP-DNA1,3300070673,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Blandy Experimental Farm, Virginia, USA - BLAN_033-M-20200713-COMP-DNA1",Battelle Memorial Institute,Ga0619607,Metagenome Analysis,Gp0766175,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,BLAN,20200713,Environmental,Terrestrial,Agricultural land,Soil,Unclassified,8791614,27520,24275,0,0,0,0,0,0,0
NIWO_002-O-20230726-COMP-DNA1,3300082525,1514661,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from Niwot Ridge Mountain Research Station NEON Field site, Ward, Colorado, USA - NIWO_002-O-20230726-COMP-DNA1 (version 2)",DOE Joint Genome Institute  (JGI),Ga0672921,Metagenome Analysis,Gp0820727,Gs0166454,CSP,Illumina NovaSeq X 25B,Level 1: Standard Draft,NIWO,20230726,Environmental,Terrestrial,Unclassified,Soil,Unclassified,2117508221,3457228,1839891,25,0,315,6722248,309191136,179534005,58.07
ORNL_021-O-20170619-COMP-DNA1,3300069413,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Oak Ridge, Appalachians & Cumberland Plateau, TN, USA - ORNL_021-O-20170619-COMP-DNA1 re-annotation",Battelle Memorial Institute,Ga0614076,Metagenome Analysis,Gp0476929,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,ORNL,20170619,Environmental,Terrestrial,Unclassified,Soil,Unclassified,25948888,72357,60724,0,0,0,0,0,0,0
DCFS_063-M-20230725-COMP-DNA1,3300078281,1490410,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_063-M-20230725-COMP-DNA1",DOE Joint Genome Institute  (JGI),Ga0643905,Metagenome Analysis,Gp0798364,Gs0166454,CSP,Illumina NovaSeq S4,Level 1: Standard Draft,DCFS,20230725,Environmental,Terrestrial,Grasslands,Soil,Unclassified,1305865871,2200195,1128115,11,0,281,4647209,269062304,155437274,57.77
MLBS_061-O-20230711-COMP-DNA1,3300075769,1490397,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from Mountain Lake Biological Station NEON Field Site, Virginia, USA - MLBS_061-O-20230711-COMP-DNA1",DOE Joint Genome Institute  (JGI),Ga0643892,Metagenome Analysis,Gp0798414,Gs0166454,CSP,Illumina NovaSeq S4,Level 1: Standard Draft,MLBS,20230711,Environmental,Terrestrial,Temperate forest,Soil,Unclassified,2074243656,3389000,1814019,17,0,319,6502331,334003426,191078121,57.21
OAES_004-M-20160809-COMP-DNA1,3300069400,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Klemme Range Research Station, Southern Plains, OK, USA - OAES_004-M-20160809-COMP-DNA1 re-annotation",Battelle Memorial Institute,Ga0614062,Metagenome Analysis,Gp0476887,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,OAES,20160809,Environmental,Terrestrial,Unclassified,Soil,Unclassified,15265492,45422,39017,0,0,0,0,0,0,0
BARC.C0.20230801.DNA-DNA1,3300081884,1506459,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Freshwater microbial communities from Lake Barco NEON Field Site, Melrose, Florida, USA - BARC.C0.20230801.DNA-DNA1 (version 2)",DOE Joint Genome Institute  (JGI),Ga0672966,Metagenome Analysis,Gp0812610,Gs0166454,CSP,Illumina NovaSeq X 10B,Level 1: Standard Draft,BARC,20230801,Environmental,Aquatic,Lake,Freshwater,Unclassified,613847854,901182,552673,19,1,86,7137765,189102484,128725461,68.07
WOOD_042-M-20190716-COMP-DNA1,3300071136,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Chase Lake National Wildlife Refuge, North Dakota, USA - WOOD_042-M-20190716-COMP-DNA1",Battelle Memorial Institute,Ga0620443,Metagenome Analysis,Gp0767011,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,WOOD,20190716,Environmental,Terrestrial,Unclassified,Soil,Unclassified,11005480,35530,31499,0,0,0,0,0,0,0
LENO_001-M-20160829-COMP-DNA1,3300040171,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Lenoir Landing, Ozarks Complex, AL, USA - LENO_001-M-20160829-COMP-DNA1",Battelle Memorial Institute,Ga0428093,Metagenome Analysis,Gp0476836,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,LENO,20160829,Environmental,Terrestrial,Unclassified,Soil,Unclassified,8321174,29345,27988,0,0,0,0,0,0,0
CPER_006-M-20230628-COMP-DNA1,3300078710,1490055,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from Central Plains Experimental Range, Nunn, Colorado, USA - CPER_006-M-20230628-COMP-DNA1",DOE Joint Genome Institute  (JGI),Ga0643734,Metagenome Analysis,Gp0798356,Gs0166454,CSP,Illumina NovaSeq S4,Level 1: Standard Draft,CPER,20230628,Environmental,Terrestrial,Grasslands,Soil,Unclassified,988526590,1702205,899973,10,0,203,4869589,214923234,126660282,58.93
PUUM_042-O-20230109-COMP-DNA1,3300079548,1514596,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from Pu'u Maka'ala Natural Area Reserve NEON Field site, Mountain View, Hawaii, USA - PUUM_042-O-20230109-COMP-DNA1",DOE Joint Genome Institute  (JGI),Ga0669119,Metagenome Analysis,Gp0820662,Gs0166454,CSP,Illumina NovaSeq X 25B,Level 1: Standard Draft,PUUM,20230109,Environmental,Terrestrial,Unclassified,Soil,Unclassified,3141756066,4857731,2264162,39,0,409,7681555,383628752,268346187,69.95
HARV_001-O-20160803-COMP-DNA1,3300070942,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Harvard Forest , Massachusetts, USA - HARV_001-O-20160803-COMP-DNA1",Battelle Memorial Institute,Ga0619809,Metagenome Analysis,Gp0766377,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,HARV,20160803,Environmental,Terrestrial,Forest,Soil,Unclassified,3657748,13804,13330,0,0,0,0,0,0,0
CARI.20230713.EPILITHON.8.DNA-DNA1,3300080920,1506449,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Freshwater microbial communities from Caribou Creek NEON Field Site, Chatanika, Alaska, USA - CARI.20230713.EPILITHON.8.DNA-DNA1",DOE Joint Genome Institute  (JGI),Ga0654657,Metagenome Analysis,Gp0812694,Gs0166454,CSP,Illumina NovaSeq X 10B,Level 1: Standard Draft,CARI,20230713,Environmental,Aquatic,Creek,Freshwater,Unclassified,832758239,1146202,501841,45,0,172,4841617,792386320,736392192,92.93
BLAN_038-M-20200714-COMP-DNA1,3300070674,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Blandy Experimental Farm, Virginia, USA - BLAN_038-M-20200714-COMP-DNA1",Battelle Memorial Institute,Ga0619608,Metagenome Analysis,Gp0766176,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,BLAN,20200714,Environmental,Terrestrial,Agricultural land,Soil,Unclassified,2100446,7334,6499,0,0,0,0,0,0,0
HARV_013-O-39-20230704-GEN-DNA1,3300081827,1529182,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_013-O-39-20230704-GEN-DNA1",DOE Joint Genome Institute  (JGI),Ga0672855,Metagenome Analysis,Gp0824486,Gs0166454,CSP,Illumina NovaSeq X 25B,Level 1: Standard Draft,HARV,20230704,Environmental,Terrestrial,Temperate forest,Soil,Unclassified,2220415135,3484509,1737403,18,0,358,6202276,281930592,187957343,66.67
OSBS_002-M-20130726-COMP-DNA1,3300069426,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Ordway-Swisher Biological Station, Southeast, FL, USA - OSBS_002-M-20130726-COMP-DNA1 re-annotation",Argonne National Laboratory,Ga0614095,Metagenome Analysis,Gp0476961,Gs0144570,NA,Illumina HiSeq,Level 1: Standard Draft,OSBS,20130726,Environmental,Terrestrial,Unclassified,Soil,Unclassified,9096388,24928,22826,0,0,0,0,0,0,0
ORNL_029-M-20170621-COMP-DNA1,3300069414,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Oak Ridge, Appalachians & Cumberland Plateau, TN, USA - ORNL_029-M-20170621-COMP-DNA1 re-annotation",Battelle Memorial Institute,Ga0614077,Metagenome Analysis,Gp0476932,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,ORNL,20170621,Environmental,Terrestrial,Unclassified,Soil,Unclassified,48504960,147836,126414,0,0,0,0,0,0,0
MOAB_045-M-20170523-COMP-DNA1,3300040402,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Moab, Southern Rockies & Colorado Plateau, UT, USA - MOAB_045-M-20170523-COMP-DNA1",Battelle Memorial Institute,Ga0428379,Metagenome Analysis,Gp0476849,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,MOAB,20170523,Environmental,Terrestrial,Unclassified,Soil,Unclassified,5361928,16063,14722,0,0,0,0,0,0,0
FLNT.C0.20230815.DNA-DNA1,3300081883,1506460,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Freshwater microbial communities from Flint River NEON Field Site, Hopeful, Georgia, USA - FLNT.C0.20230815.DNA-DNA1 (version 2)",DOE Joint Genome Institute  (JGI),Ga0672965,Metagenome Analysis,Gp0812612,Gs0166454,CSP,Illumina NovaSeq X 10B,Level 1: Standard Draft,FLNT,20230815,Environmental,Aquatic,River,Freshwater,Unclassified,897970391,1493019,750996,19,0,295,3043967,258620486,186870904,72.26
WREF_008-M-20190620-COMP-DNA1,3300070885,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Wind River Experimental Forest, Washington, USA - WREF_008-M-20190620-COMP-DNA1",Battelle Memorial Institute,Ga0620464,Metagenome Analysis,Gp0767032,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,WREF,20190620,Environmental,Terrestrial,Forest,Soil,Unclassified,16500124,51552,44557,0,0,0,0,0,0,0
SJER_005-M-23-20230306-GEN-DNA1,3300082508,1529155,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from San Joaquin Experimental Range NEON Field site, Yosemite Lakes, California, USA - SJER_005-M-23-20230306-GEN-DNA1",DOE Joint Genome Institute  (JGI),Ga0672828,Metagenome Analysis,Gp0824459,Gs0166454,CSP,Illumina NovaSeq X 25B,Level 1: Standard Draft,SJER,20230306,Environmental,Terrestrial,Unclassified,Soil,Unclassified,849143087,1532335,914241,3,0,207,4102140,291004990,91746529,31.53
CPER_001-M-25-38-20130701-GEN-DNA1,3300040622,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Central Plains Experimental Range, Central Plains, CO, USA - CPER_001-M-25-38-20130701-GEN-DNA1",Argonne National Laboratory,Ga0435292,Metagenome Analysis,Gp0476625,Gs0144570,NA,Illumina HiSeq,Level 1: Standard Draft,CPER,20130701,Environmental,Terrestrial,Unclassified,Soil,Unclassified,1302720,4329,4134,0,0,0,0,0,0,0
SRER_001-M-20190806-COMP-DNA1,3300070523,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Santa Rita Experimental Range, Arizona, USA - SRER_001-M-20190806-COMP-DNA1",Battelle Memorial Institute,Ga0620258,Metagenome Analysis,Gp0766826,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,SRER,20190806,Environmental,Terrestrial,Unclassified,Soil,Unclassified,11642213,36794,32278,0,0,0,0,0,0,0
WREF_007-M-20190620-COMP-DNA1,3300070596,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Wind River Experimental Forest, Washington, USA - WREF_007-M-20190620-COMP-DNA1",Battelle Memorial Institute,Ga0620461,Metagenome Analysis,Gp0767029,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,WREF,20190620,Environmental,Terrestrial,Forest,Soil,Unclassified,29649080,88275,77059,0,0,0,0,0,0,0
CLBJ_032-M-20160817-COMP-DNA1,3300069606,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from LBJ National Grassland , Southern Plains, TX, USA - CLBJ_032-M-20160817-COMP-DNA1 re-annotation",Battelle Memorial Institute,Ga0614369,Metagenome Analysis,Gp0476594,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,CLBJ,20160817,Environmental,Terrestrial,Unclassified,Soil,Unclassified,3836093,12788,11342,0,0,0,0,0,0,0
SYCA.20230606.EPILITHON.7.DNA-DNA1,3300078827,1500336,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Freshwater biofilm microbial communities from Sycamore Creek NEON Field Site, Rio Verde, Arizona, USA - SYCA.20230606.EPILITHON.7.DNA-DNA1",DOE Joint Genome Institute  (JGI),Ga0654412,Metagenome Analysis,Gp0812723,Gs0166454,CSP,Illumina NovaSeq X 10B,Level 1: Standard Draft,SYCA,20230606,Environmental,Aquatic,Creek,Freshwater,Biofilm,705228856,1126793,608641,28,0,179,3939826,321732392,242286990,75.31
LAJA_003-M-20160913-COMP-DNA1,3300039874,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Lajas Experimental Station, Atlantic Neotropical, PR, USA - LAJA_003-M-20160913-COMP-DNA1",Battelle Memorial Institute,Ga0428372,Metagenome Analysis,Gp0476833,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,LAJA,20160913,Environmental,Terrestrial,Unclassified,Soil,Unclassified,24044772,72331,63205,0,0,0,0,0,0,0
OSBS_002-M-20131112-COMP-DNA1,3300040569,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Ordway-Swisher Biological Station, Southeast, FL, USA - OSBS_002-M-20131112-COMP-DNA1",Argonne National Laboratory,Ga0428154,Metagenome Analysis,Gp0476951,Gs0144570,NA,Illumina HiSeq,Level 1: Standard Draft,OSBS,20131112,Environmental,Terrestrial,Unclassified,Soil,Unclassified,2248076,6787,6377,0,0,0,0,0,0,0
KONZ_024-M-20190715-COMP-DNA1,3300070705,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Konza Prairie Biological Station, Kansas, USA - KONZ_024-M-20190715-COMP-DNA1",Battelle Memorial Institute,Ga0619915,Metagenome Analysis,Gp0766483,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,KONZ,20190715,Environmental,Terrestrial,Forest,Soil,Unclassified,1177095,3944,3543,0,0,0,0,0,0,0
OSBS_022-O-20170711-COMP-DNA1,3300039970,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Ordway-Swisher Biological Station, Southeast, FL, USA - OSBS_022-O-20170711-COMP-DNA1",Battelle Memorial Institute,Ga0427993,Metagenome Analysis,Gp0476943,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,OSBS,20170711,Environmental,Terrestrial,Unclassified,Soil,Unclassified,19762786,56802,50583,0,0,0,0,0,0,0
UKFS_001-M-20170802-COMP-DNA1,3300039714,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from The University of Kansas Field Station, Prairie Peninsula, KS, USA - UKFS_001-M-20170802-COMP-DNA1",Battelle Memorial Institute,Ga0428263,Metagenome Analysis,Gp0477137,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,UKFS,20170802,Environmental,Terrestrial,Unclassified,Soil,Unclassified,71831974,201849,176164,0,0,0,0,0,0,0
JERC_001-M-20170725-COMP-DNA1,3300040545,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Jones Ecological Research Center, Southeast, GA, USA - JERC_001-M-20170725-COMP-DNA1",Battelle Memorial Institute,Ga0428353,Metagenome Analysis,Gp0476792,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,JERC,20170725,Environmental,Terrestrial,Unclassified,Soil,Unclassified,2658365,8814,8355,0,0,0,0,0,0,0
BART_002-O-20160727-COMP-DNA1,3300070665,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Bartlett Experimental Forest, New Hampshire, USA - BART_002-O-20160727-COMP-DNA1",Battelle Memorial Institute,Ga0619587,Metagenome Analysis,Gp0766155,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,BART,20160727,Environmental,Terrestrial,Forest,Soil,Unclassified,3164141,11733,11049,0,0,0,0,0,0,0
WREF PLOT 4 SAMPLES,3300072277,1414543,509462,Permanent Draft,Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico,WREF plot 4 samples,DOE Joint Genome Institute  (JGI),Ga0619409,Combined Assembly,Gp0704960,Gs0161344,Director's Science,Illumina NovaSeq S4,Level 1: Standard Draft,WREF PLOT 4 SAMPLES,NA,Environmental,Terrestrial,Temperate forest,Soil,Unclassified,2810549800,4897306,2730029,20,1,418,6723803,0,0,0
POSE.20230719.EPIPELON.3.DNA-DNA1,3300081710,1506433,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Freshwater microbial communities from Posey Creek NEON Field Site, Front Royal, VA, USA - POSE.20230719.EPIPELON.3.DNA-DNA1 (version 2)",DOE Joint Genome Institute  (JGI),Ga0672977,Metagenome Analysis,Gp0812640,Gs0166454,CSP,Illumina NovaSeq X 10B,Level 1: Standard Draft,POSE,20230719,Environmental,Aquatic,Creek,Freshwater,Unclassified,365899198,700989,454827,1,0,104,3518261,352458472,74451889,21.12
SJER_002-M-41-20230228-GEN-DNA1,3300081264,1529165,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from San Joaquin Experimental Range NEON Field site, Yosemite Lakes, California, USA - SJER_002-M-41-20230228-GEN-DNA1",DOE Joint Genome Institute  (JGI),Ga0672838,Metagenome Analysis,Gp0824469,Gs0166454,CSP,Illumina NovaSeq X 25B,Level 1: Standard Draft,SJER,20230228,Environmental,Terrestrial,Unclassified,Soil,Unclassified,1123574366,2067866,1247274,5,0,279,4027148,361134916,125244400,34.68
YELL_001-M-20190821-COMP-DNA1,3300071143,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Yellowstone National Park, Wyoming, USA - YELL_001-M-20190821-COMP-DNA1",Battelle Memorial Institute,Ga0620472,Metagenome Analysis,Gp0767040,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,YELL,20190821,Environmental,Terrestrial,Unclassified,Soil,Unclassified,19307940,58879,50636,0,0,0,0,0,0,0
SCBI_047-M-20190730-COMP-DNA2,3300070806,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Smithsonian Conservation Biology Institute, Virginia, USA - SCBI_047-M-20190730-COMP-DNA2",Battelle Memorial Institute,Ga0620208,Metagenome Analysis,Gp0766776,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,SCBI,20190730,Environmental,Terrestrial,Forest,Soil,Unclassified,2728702,8551,7677,0,0,0,0,0,0,0
HARV_034-O-20170731-COMP-DNA1,3300039825,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Harvard Forest, Northeast, MA, USA - HARV_034-O-20170731-COMP-DNA1",Battelle Memorial Institute,Ga0428039,Metagenome Analysis,Gp0476744,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,HARV,20170731,Environmental,Terrestrial,Temperate forest,Soil,Bulk soil,29657261,84485,75609,0,0,0,0,0,0,0
KONZ_005-M-20160714-COMP-DNA1,3300039921,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Konza Prairie Biological Station, Prairie Peninsula, KS, USA - KONZ_005-M-20160714-COMP-DNA1",Battelle Memorial Institute,Ga0428090,Metagenome Analysis,Gp0476831,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,KONZ,20160714,Environmental,Terrestrial,Unclassified,Soil,Unclassified,21007611,61971,55357,0,0,0,0,0,0,0
SCBI_004-M-20200720-COMP-DNA1,3300070491,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Smithsonian Conservation Biology Institute, Virginia, USA - SCBI_004-M-20200720-COMP-DNA1",Battelle Memorial Institute,Ga0620188,Metagenome Analysis,Gp0766756,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,SCBI,20200720,Environmental,Terrestrial,Forest,Soil,Unclassified,20572427,67030,59131,0,0,0,0,0,0,0
WREF_073-O-20200714-COMP-DNA1,3300070331,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Wind River Experimental Forest, Washington, USA - WREF_073-O-20200714-COMP-DNA1",Battelle Memorial Institute,Ga0619524,Metagenome Analysis,Gp0766092,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,WREF,20200714,Environmental,Terrestrial,Forest,Soil,Unclassified,17730365,54773,47651,0,0,0,0,0,0,0
TALL_001-O-20140708-COMP-DNA1,3300069466,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Talladega National Forest, Ozarks Complex, AL, USA - TALL_001-O-20140708-COMP-DNA1 re-annotation",Argonne National Laboratory,Ga0614197,Metagenome Analysis,Gp0477113,Gs0144570,NA,Illumina HiSeq,Level 1: Standard Draft,TALL,20140708,Environmental,Terrestrial,Temperate forest,Soil,Bulk soil,4938021,15561,14117,0,0,0,0,0,0,0
CPER_002-M-20190624-COMP-DNA1,3300070348,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Central Plains Experimental Range, Colorado, USA - CPER_002-M-20190624-COMP-DNA1",Battelle Memorial Institute,Ga0619674,Metagenome Analysis,Gp0766242,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,CPER,20190624,Environmental,Terrestrial,Unclassified,Soil,Unclassified,27817237,78288,65061,0,0,0,0,0,0,0
DELA_014-M-20190624-COMP-DNA1,3300070923,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Dead Lake, Alabama, USA - DELA_014-M-20190624-COMP-DNA1",Battelle Memorial Institute,Ga0619750,Metagenome Analysis,Gp0766318,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,DELA,20190624,Environmental,Terrestrial,Forest,Soil,Unclassified,13523077,43168,38014,0,0,0,0,0,0,0
HARV_013-O-31-27-20131122-GEN-DNA1,3300040236,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Harvard Forest, Northeast, MA, USA - HARV_013-O-31-27-20131122-GEN-DNA1",Argonne National Laboratory,Ga0435328,Metagenome Analysis,Gp0476752,Gs0144570,NA,Illumina HiSeq,Level 1: Standard Draft,HARV,20131122,Environmental,Terrestrial,Temperate forest,Soil,Bulk soil,7496307,23821,21800,0,0,0,0,0,0,0
GUAN_049-M-20230906-COMP-DNA1,3300082223,1514633,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from Guanica Dry Forest Reserve NEON Field site, Guayanilla, Puerto Rico - GUAN_049-M-20230906-COMP-DNA1 (version 2)",DOE Joint Genome Institute  (JGI),Ga0672943,Metagenome Analysis,Gp0820699,Gs0166454,CSP,Illumina NovaSeq X 25B,Level 1: Standard Draft,GUAN,20230906,Environmental,Terrestrial,Unclassified,Soil,Unclassified,2493304402,4184146,2163157,16,0,438,5692475,473295120,306145438,64.68
HOPB.SS.20230419.DNA-DNA1,3300081410,1529144,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Freshwater microbial communities from Lower Hop Brook NEON Field Site, New Salem, MA, USA - HOPB.SS.20230419.DNA-DNA1",DOE Joint Genome Institute  (JGI),Ga0671666,Metagenome Analysis,Gp0823175,Gs0166454,CSP,Illumina NovaSeq S4,Level 1: Standard Draft,HOPB,20230419,Environmental,Aquatic,Creek,Freshwater,Unclassified,308296671,529781,278594,9,0,103,2993171,411998346,69184921,16.79
KONZ_004-M-20190715-COMP-DNA1,3300070405,NA,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Konza Prairie Biological Station, Kansas, USA - KONZ_004-M-20190715-COMP-DNA1",Battelle Memorial Institute,Ga0619908,Metagenome Analysis,Gp0766476,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,KONZ,20190715,Environmental,Terrestrial,Unclassified,Soil,Unclassified,4931714,16081,14293,0,0,0,0,0,0,0
WOOD_043-M-20170711-COMP-DNA1,3300040257,0,NA,Permanent Draft,Terrestrial soil microbial communities from various locations - NEON,"Terrestrial soil microbial communities from Woodworth, Northern Plains, ND, USA - WOOD_043-M-20170711-COMP-DNA1",Battelle Memorial Institute,Ga0428323,Metagenome Analysis,Gp0477173,Gs0144570,NA,Illumina NextSeq 550,Level 1: Standard Draft,WOOD,20170711,Environmental,Terrestrial,Unclassified,Soil,Unclassified,8076267,23083,20393,0,0,0,0,0,0,0
DCFS_067-M-20230725-COMP-DNA1,3300078140,1490407,509938,Permanent Draft,Soil and water microbial communities from various NEON Field Sites across the United States,"Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_067-M-20230725-COMP-DNA1",DOE Joint Genome Institute  (JGI),Ga0643902,Metagenome Analysis,Gp0798361,Gs0166454,CSP,Illumina NovaSeq S4,Level 1: Standard Draft,DCFS,20230725,Environmental,Terrestrial,Grasslands,Soil,Unclassified,1400409210,2428092,1290534,7,0,305,4591505,295685306,150793698,51
